Date,1931,1932,1933
2016-04-13,6000,6353.039789,5400
2016-04-14,6000,5300,5500
2016-04-15,6000,5300,5500
2016-04-16,6000,5300,5500
2016-04-17,6000,5300,5500
2016-04-18,6000,5300,5500
2016-04-19,6000,5300,5500
2016-04-20,6000,5300,5500
2016-04-21,6000,5300,5500
2016-04-22,6000,5300,5500
2016-04-23,6000,5300,5500
2016-04-24,6000,5300,5500
2016-04-25,6000,5300,5500
2016-04-26,6000,5300,5500
2016-04-27,6000,5300,5500
2016-04-28,6000,5300,5500
2016-04-29,6000,5300,5500
2016-04-30,7031.70867,4500,5300
2016-05-01,7031.70867,4500,5300
2016-05-02,7031.70867,4500,5300
2016-05-03,7031.70867,4500,5300
2016-05-04,7031.70867,4500,5300
2016-05-05,7031.70867,4500,5300
2016-05-06,7031.70867,4500,5300
2016-05-07,7031.70867,4500,5300
2016-05-08,7031.70867,4500,5300
2016-05-09,7031.70867,4500,5300
2016-05-10,7031.70867,4500,5300
2016-05-11,7031.70867,4600,5300
2016-05-12,7031.70867,4900,5300
2016-05-13,7031.70867,4700,5300
2016-05-14,10184.63367,7300,8000
2016-05-15,10184.63367,7300,8000
2016-05-16,10184.63367,7300,8000
2016-05-17,10184.63367,7600,8000
2016-05-18,10184.63367,7300,8000
2016-05-19,10184.63367,7300,8000
2016-05-20,10184.63367,7500,8000
2016-05-21,10184.63367,7300,8000
2016-05-22,10184.63367,7300,8000
2016-05-23,10184.63367,7300,8000
2016-05-24,10184.63367,8400,8000
2016-05-25,10184.63367,7300,8000
2016-05-26,10184.63367,7300,8000
2016-05-27,10184.63367,7300,8000
2016-05-28,10184.63367,7300,8000
2016-05-29,10184.63367,7300,8000
2016-05-30,10184.63367,7300,8000
2016-05-31,10184.63367,7300,8000
2016-06-01,10184.63367,7300,8000
2016-06-02,10184.63367,7300,8000
2016-06-03,10184.63367,7300,8000
2016-06-04,10184.63367,7300,8000
2016-06-05,10184.63367,7300,8000
2016-06-06,10184.63367,7300,8000
2016-06-07,10184.63367,7300,8000
2016-06-08,10184.63367,7300,8000
2016-06-09,10184.63367,7300,8000
2016-06-10,10184.63367,7300,8000
2016-06-11,10184.63367,7300,8000
2016-06-12,10184.63367,7300,8000
2016-06-13,10184.63367,7300,8000
2016-06-14,10184.63367,7300,8000
2016-06-15,10184.63367,7300,8000
2016-06-16,10184.63367,7300,8000
2016-06-17,10184.63367,7300,8000
2016-06-18,10184.63367,7300,8000
2016-06-19,10184.63367,7300,8000
2016-06-20,10184.63367,7300,8000
2016-06-21,10184.63367,7300,8000
2016-06-22,10184.63367,7300,8000
2016-06-23,10184.63367,7300,8000
2016-06-24,10184.63367,7300,8000
2016-06-25,10184.63367,7300,8000
2016-06-26,10184.63367,7300,8000
2016-06-27,10184.63367,7300,8000
2016-06-28,10184.63367,7300,8000
2016-06-29,10184.63367,7300,8000
2016-06-30,10184.63367,7300,8000
2016-07-01,10184.63367,7300,8000
2016-07-02,10184.63367,7300,8000
2016-07-03,10184.63367,7300,8000
2016-07-04,10184.63367,7300,8000
2016-07-05,10184.63367,7300,8000
2016-07-06,10184.63367,7300,8000
2016-07-07,10184.63367,7300,8000
2016-07-08,10184.63367,7300,8000
2016-07-09,10184.63367,7300,8000
2016-07-10,10184.63367,7300,8000
2016-07-11,10184.63367,7300,8000
2016-07-12,10184.63367,7300,8000
2016-07-13,10184.63367,7300,8000
2016-07-14,10184.63367,7300,8000
2016-07-15,10184.63367,7300,8000
2016-07-16,10184.63367,7300,8000
2016-07-17,10184.63367,7300,8000
2016-07-18,10184.63367,7300,8000
2016-07-19,10184.63367,7300,8000
2016-07-20,10184.63367,7300,8000
2016-07-21,10184.63367,7300,8000
2016-07-22,10184.63367,7300,8000
2016-07-23,10184.63367,7300,8000
2016-07-24,10184.63367,7300,8000
2016-07-25,10184.63367,7300,8000
2016-07-26,10184.63367,7300,8000
2016-07-27,10184.63367,7300,8000
2016-07-28,10184.63367,7300,8000
2016-07-29,10184.63367,7300,8000
2016-07-30,10184.63367,7300,8000
2016-07-31,10184.63367,7300,8000
2016-08-01,10184.63367,7300,8000
2016-08-02,10184.63367,7300,8000
2016-08-03,10184.63367,7300,8000
2016-08-04,10184.63367,7300,8000
2016-08-05,10184.63367,7300,8000
2016-08-06,10184.63367,7300,8000
2016-08-07,10184.63367,7300,8000
2016-08-08,10184.63367,7300,8000
2016-08-09,10184.63367,7300,8000
2016-08-10,10184.63367,7300,8000
2016-08-11,10184.63367,7300,8000
2016-08-12,10184.63367,7300,8000
2016-08-13,10184.63367,7300,8000
2016-08-14,10184.63367,7300,8000
2016-08-15,10184.63367,7300,8000
2016-08-16,10184.63367,7300,8000
2016-08-17,10184.63367,7300,8000
2016-08-18,10184.63367,7300,8000
2016-08-19,10184.63367,7300,8000
2016-08-20,10184.63367,7300,8000
2016-08-21,10184.63367,7300,8000
2016-08-22,10184.63367,7300,8000
2016-08-23,10184.63367,7300,8000
2016-08-24,10184.63367,7300,8000
2016-08-25,10184.63367,7300,8000
2016-08-26,10184.63367,7300,8000
2016-08-27,10184.63367,7300,8000
2016-08-28,10184.63367,7300,8000
2016-08-29,10184.63367,7300,8000
2016-08-30,10184.63367,7300,8000
2016-08-31,10184.63367,7300,8000
2016-09-01,10184.63367,7300,8000
2016-09-02,10184.63367,7300,8000
2016-09-03,10184.63367,7300,8000
2016-09-04,10184.63367,7300,8000
2016-09-05,10184.63367,7300,8000
2016-09-06,10184.63367,7300,8000
2016-09-07,10184.63367,7300,8000
2016-09-08,10184.63367,7300,8000
2016-09-09,10184.63367,7300,8000
2016-09-10,10184.63367,7300,8000
2016-09-11,10184.63367,7300,8000
2016-09-12,10184.63367,7300,8000
2016-09-13,10184.63367,7300,8000
2016-09-14,7184.633672,4300,5900
2016-09-15,4400,3588.429134,5900
2016-09-16,4400,3588.429134,5900
2016-09-17,4400,3588.429134,5900
2016-09-18,4400,3588.429134,5900
2016-09-19,4400,3688.429134,5900
2016-09-20,4400,3788.429134,5900
2016-09-21,4400,3788.429134,5900
2016-09-22,4400,3688.429134,5900
2016-09-23,4400,3688.429134,5900
2016-09-24,4400,3588.429134,5900
2016-09-25,4400,3588.429134,5900
2016-09-26,4400,3588.429134,5900
2016-09-27,4400,3588.429134,5900
2016-09-28,4400,3588.429134,5900
2016-09-29,4400,3588.429134,5900
2016-09-30,3600,3512.007305,4700
2016-10-01,3600,3512.007305,4700
2016-10-02,3600,3512.007305,4700
2016-10-03,3600,3512.007305,4700
2016-10-04,3600,3512.007305,4700
2016-10-05,3600,3512.007305,4700
2016-10-06,3600,3512.007305,4700
2016-10-07,3600,3512.007305,4700
2016-10-08,3600,3512.007305,4700
2016-10-09,3600,3512.007305,4700
2016-10-10,3600,3512.007305,4700
2016-10-11,3600,3512.007305,4700
2016-10-12,3600,3512.007305,4700
2016-10-13,3600,3512.007305,4700
2016-10-14,3210.326563,4100,4000
2016-10-15,3210.326563,4100,4000
2016-10-16,3210.326563,4100,4000
2016-10-17,3210.326563,4100,4000
2016-10-18,3210.326563,4100,4000
2016-10-19,3210.326563,4100,4000
2016-10-20,3210.326563,4100,4000
2016-10-21,3210.326563,4100,4000
2016-10-22,3210.326563,4100,4000
2016-10-23,3210.326563,4100,4000
2016-10-24,3210.326563,4100,4000
2016-10-25,3210.326563,4100,4000
2016-10-26,3210.326563,4100,4000
2016-10-27,3210.326563,4100,4000
2016-10-28,3210.326563,4100,4000
2016-10-29,3210.326563,4100,4000
2016-10-30,3210.326563,4100,4000
2016-10-31,3198.754909,3142.534009,3300
2016-11-01,3198.754909,3142.534009,3300
2016-11-02,3198.754909,3142.534009,3300
2016-11-03,3198.754909,3142.534009,3300
2016-11-04,3198.754909,3142.534009,3300
2016-11-05,3198.754909,3142.534009,3300
2016-11-06,3198.754909,3142.534009,3300
2016-11-07,3198.754909,3142.534009,3300
2016-11-08,3198.754909,3142.534009,3300
2016-11-09,3198.754909,3142.534009,3300
2016-11-10,3198.754909,3142.534009,3300
2016-11-11,3198.754909,3142.534009,3300
2016-11-12,3198.754909,3142.534009,3300
2016-11-13,3198.754909,3142.534009,3300
2016-11-14,3189.882454,3200,3500
2016-11-15,3189.882454,3200,3500
2016-11-16,3189.882454,3200,3500
2016-11-17,3189.882454,3200,3500
2016-11-18,3189.882454,3200,3500
2016-11-19,3189.882454,3200,3500
2016-11-20,3189.882454,3200,3500
2016-11-21,3189.882454,3200,3500
2016-11-22,3189.882454,3200,3500
2016-11-23,3189.882454,3200,3500
2016-11-24,3189.882454,3200,3500
2016-11-25,3189.882454,3200,3500
2016-11-26,3189.882454,3200,3500
2016-11-27,3189.882454,3200,3500
2016-11-28,3189.882454,3200,3500
2016-11-29,3189.882454,3200,3500
2016-11-30,5209.937083,5157.287369,5500
2016-12-01,5209.937083,5157.287369,5500
2016-12-02,5209.937083,5157.287369,5500
2016-12-03,5209.937083,5157.287369,5500
2016-12-04,5209.937083,5157.287369,5500
2016-12-05,5209.937083,5157.287369,5500
2016-12-06,5209.937083,5157.287369,5500
2016-12-07,5209.937083,5157.287369,5500
2016-12-08,5209.937083,5157.287369,5500
2016-12-09,5209.937083,5157.287369,5500
2016-12-10,5209.937083,5157.287369,5500
2016-12-11,5209.937083,5157.287369,5500
2016-12-12,5209.937083,5157.287369,5500
2016-12-13,5209.937083,5157.287369,5500
2016-12-14,5196.006258,5700,5900
2016-12-15,5196.006258,5700,5900
2016-12-16,5196.006258,5700,5900
2016-12-17,5196.006258,5700,5900
2016-12-18,5196.006258,5700,5900
2016-12-19,5196.006258,5700,5900
2016-12-20,5196.006258,5700,5900
2016-12-21,5196.006258,5700,5900
2016-12-22,5196.006258,5700,5900
2016-12-23,5196.006258,5700,5900
2016-12-24,5196.006258,5700,5900
2016-12-25,5196.006258,5700,5900
2016-12-26,5196.006258,5700,5900
2016-12-27,5196.006258,5700,5900
2016-12-28,5196.006258,5700,5900
2016-12-29,5196.006258,5700,5900
2016-12-30,5196.006258,5700,5900
2016-12-31,5181.339959,5137.15208,5300
