Date	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945
2016-01-14	"13,500"	"12,500"	"12,000"	"12,000"	"12,500"	"14,000"	"13,382"	"12,000"	"12,000"	"12,000"	"12,000"	"12,495"	"12,000"	"12,000"	"16,156"
2016-01-15	"13,500"	"12,500"	"12,000"	"12,000"	"12,500"	"13,500"	"13,882"	"12,000"	"12,000"	"12,000"	"12,000"	"12,495"	"12,000"	"12,000"	"16,156"
2016-01-16	"13,500"	"12,000"	"12,000"	"12,000"	"12,500"	"13,500"	"13,882"	"12,000"	"12,000"	"12,000"	"12,491"	"12,000"	"12,000"	"12,000"	"16,156"
2016-01-17	"13,000"	"12,000"	"12,000"	"12,000"	"12,000"	"13,000"	"13,882"	"12,000"	"12,000"	"12,000"	"12,491"	"12,000"	"12,000"	"12,000"	"16,156"
2016-01-18	"12,500"	"12,000"	"12,500"	"12,000"	"12,000"	"12,500"	"14,382"	"12,458"	"12,000"	"12,000"	"12,491"	"12,000"	"12,000"	"12,000"	"16,156"
2016-01-19	"12,500"	"12,000"	"13,000"	"12,000"	"12,000"	"12,500"	"14,382"	"12,458"	"12,469"	"12,000"	"12,491"	"12,000"	"12,000"	"12,000"	"16,156"
2016-01-20	"12,500"	"12,000"	"13,500"	"12,000"	"12,000"	"12,000"	"14,882"	"12,458"	"12,469"	"12,000"	"12,491"	"12,000"	"12,000"	"12,000"	"16,156"
2016-01-21	"12,500"	"12,000"	"13,500"	"12,000"	"12,000"	"12,000"	"15,382"	"12,958"	"12,969"	"12,000"	"12,491"	"12,000"	"12,000"	"12,000"	"16,156"
2016-01-22	"12,000"	"12,000"	"13,000"	"12,000"	"12,000"	"12,000"	"14,382"	"13,458"	"12,469"	"12,000"	"12,491"	"12,000"	"12,000"	"12,000"	"16,156"
2016-01-23	"12,000"	"12,000"	"12,500"	"12,000"	"12,000"	"12,000"	"13,382"	"13,458"	"12,469"	"12,000"	"12,491"	"12,000"	"12,000"	"12,000"	"16,156"
2016-01-24	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,382"	"13,958"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"16,156"
2016-01-25	"12,500"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,382"	"13,958"	"12,000"	"12,485"	"12,000"	"12,000"	"12,000"	"12,000"	"16,156"
2016-01-26	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,382"	"14,958"	"12,000"	"12,485"	"12,000"	"12,000"	"12,000"	"12,000"	"16,156"
2016-01-27	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,382"	"15,458"	"12,469"	"12,485"	"12,000"	"12,000"	"12,000"	"12,000"	"16,156"
2016-01-28	"12,000"	"12,000"	"12,000"	"12,500"	"12,000"	"12,000"	"12,382"	"14,458"	"12,469"	"12,485"	"12,000"	"12,000"	"12,000"	"12,000"	"16,156"
2016-01-29	"12,000"	"12,000"	"12,000"	"12,000"	"12,500"	"12,000"	"12,382"	"12,458"	"12,469"	"12,485"	"12,000"	"12,000"	"12,000"	"12,000"	"16,156"
2016-01-30	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,382"	"12,000"	"12,469"	"12,485"	"12,000"	"12,000"	"12,000"	"12,000"	"16,156"
2016-01-31	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,382"	"12,458"	"12,000"	"12,485"	"12,000"	"12,000"	"12,000"	"12,000"	"16,156"
2016-02-01	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,382"	"12,458"	"12,000"	"12,485"	"12,000"	"12,000"	"12,000"	"12,000"	"16,156"
2016-02-02	"12,000"	"12,000"	"12,000"	"12,000"	"12,500"	"12,000"	"12,382"	"12,000"	"12,000"	"12,485"	"12,000"	"12,000"	"12,000"	"12,000"	"16,156"
2016-02-03	"12,000"	"12,000"	"12,000"	"12,000"	"12,500"	"12,000"	"12,382"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"16,156"
2016-02-04	"13,000"	"12,000"	"12,000"	"12,000"	"12,500"	"12,000"	"12,382"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"16,156"
2016-02-05	"13,500"	"12,000"	"13,000"	"12,000"	"12,500"	"12,000"	"12,382"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"16,156"
2016-02-06	"13,500"	"12,000"	"13,500"	"12,000"	"12,500"	"12,500"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"16,156"
2016-02-07	"13,000"	"12,000"	"13,500"	"12,000"	"12,500"	"12,500"	"12,382"	"12,000"	"12,469"	"12,000"	"12,491"	"12,000"	"12,000"	"12,000"	"16,156"
2016-02-08	"12,500"	"12,000"	"13,500"	"12,500"	"12,000"	"12,500"	"12,382"	"12,000"	"13,969"	"12,000"	"12,991"	"12,000"	"12,000"	"12,000"	"16,156"
2016-02-09	"12,500"	"12,000"	"12,500"	"12,000"	"12,000"	"12,500"	"12,382"	"12,000"	"14,969"	"12,000"	"13,491"	"12,000"	"12,000"	"12,000"	"16,156"
2016-02-10	"12,000"	"12,000"	"12,500"	"12,000"	"12,000"	"12,000"	"12,382"	"12,000"	"15,469"	"12,000"	"12,991"	"12,000"	"12,000"	"12,000"	"16,156"
2016-02-11	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,382"	"12,000"	"15,969"	"12,000"	"12,491"	"12,000"	"12,000"	"12,000"	"16,156"
2016-02-12	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,382"	"12,000"	"15,469"	"12,000"	"12,000"	"12,000"	"12,000"	"13,622"	"16,156"
2016-02-13	"12,000"	"12,000"	"12,500"	"12,000"	"12,000"	"12,000"	"12,382"	"12,000"	"15,469"	"12,000"	"12,000"	"12,000"	"12,000"	"15,622"	"16,156"
2016-02-14	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,382"	"12,000"	"14,469"	"12,000"	"12,000"	"12,000"	"12,000"	"14,622"	"16,156"
2016-02-15	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,882"	"12,000"	"13,969"	"12,000"	"12,000"	"12,000"	"12,000"	"14,122"	"16,156"
2016-02-16	"12,000"	"12,000"	"12,500"	"12,000"	"12,000"	"12,000"	"12,882"	"12,000"	"12,969"	"12,000"	"12,000"	"12,495"	"12,000"	"12,622"	"16,156"
2016-02-17	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,500"	"12,382"	"12,000"	"12,469"	"12,000"	"12,000"	"12,495"	"12,000"	"12,000"	"16,156"
2016-02-18	"12,000"	"12,000"	"12,000"	"12,500"	"12,000"	"13,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,995"	"12,000"	"12,000"	"16,156"
2016-02-19	"12,000"	"12,000"	"12,000"	"14,000"	"12,000"	"13,500"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,995"	"12,000"	"12,000"	"16,156"
2016-02-20	"12,000"	"12,000"	"12,000"	"13,500"	"12,000"	"14,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"13,495"	"12,000"	"12,000"	"16,156"
2016-02-21	"13,000"	"12,000"	"12,000"	"12,500"	"12,000"	"14,000"	"12,000"	"12,000"	"12,000"	"12,485"	"12,000"	"13,495"	"12,000"	"12,000"	"16,156"
2016-02-22	"13,000"	"12,000"	"12,000"	"12,500"	"12,000"	"14,000"	"12,000"	"12,000"	"12,000"	"12,485"	"12,000"	"13,995"	"12,000"	"12,000"	"16,156"
2016-02-23	"13,000"	"12,000"	"12,000"	"12,500"	"12,000"	"14,000"	"12,000"	"12,000"	"12,000"	"12,485"	"12,000"	"13,995"	"12,000"	"12,000"	"16,156"
2016-02-24	"12,500"	"12,000"	"12,000"	"12,500"	"12,000"	"14,000"	"12,000"	"12,000"	"12,000"	"12,485"	"12,000"	"13,995"	"12,000"	"12,000"	"16,156"
2016-02-25	"12,500"	"12,000"	"12,000"	"12,500"	"12,000"	"14,500"	"12,000"	"12,000"	"12,000"	"12,985"	"12,000"	"13,995"	"12,000"	"12,000"	"16,156"
2016-02-26	"12,000"	"12,000"	"12,000"	"12,500"	"12,000"	"14,500"	"12,000"	"12,000"	"12,000"	"12,985"	"12,491"	"13,995"	"12,000"	"12,000"	"16,156"
2016-02-27	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"14,500"	"12,000"	"12,000"	"12,000"	"12,985"	"12,491"	"13,995"	"12,000"	"12,000"	"16,156"
2016-02-28	"9,000"	"12,000"	"9,000"	"9,500"	"9,000"	"14,500"	"9,000"	"9,000"	"9,000"	"13,000"	"9,500"	"11,000"	"9,500"	"12,000"	"14,000"
2016-03-01	"9,000"	"9,000"	"9,000"	"10,000"	"9,000"	"11,500"	"9,000"	"9,000"	"9,000"	"9,500"	"9,500"	"11,000"	"12,500"	"9,000"	"11,000"
2016-03-02	"9,000"	"9,000"	"9,000"	"11,000"	"9,000"	"11,500"	"9,000"	"9,000"	"9,000"	"9,500"	"9,500"	"10,500"	"15,500"	"9,000"	"9,000"
2016-03-03	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"11,500"	"9,000"	"9,000"	"9,000"	"9,500"	"9,000"	"10,500"	"16,000"	"9,000"	"9,000"
2016-03-04	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"11,000"	"9,000"	"9,000"	"9,000"	"9,500"	"9,000"	"10,500"	"15,500"	"9,000"	"9,000"
2016-03-05	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,500"	"9,000"	"11,000"	"15,500"	"9,000"	"9,000"
2016-03-06	"9,000"	"9,000"	"9,000"	"11,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,500"	"9,000"	"11,000"	"16,500"	"9,000"	"9,000"
2016-03-07	"9,000"	"9,000"	"9,000"	"10,500"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,500"	"9,000"	"11,000"	"17,000"	"9,000"	"9,000"
2016-03-08	"9,000"	"9,000"	"9,000"	"10,500"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,500"	"9,000"	"10,500"	"17,000"	"9,000"	"9,000"
2016-03-09	"9,000"	"9,000"	"9,000"	"10,000"	"9,000"	"10,500"	"9,000"	"9,000"	"9,000"	"9,500"	"9,000"	"10,000"	"16,000"	"9,000"	"9,000"
2016-03-10	"9,000"	"9,000"	"9,000"	"10,500"	"9,000"	"13,500"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,500"	"15,500"	"9,000"	"9,000"
2016-03-11	"9,000"	"9,500"	"9,000"	"10,500"	"9,000"	"16,500"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"15,500"	"9,000"	"9,000"
2016-03-12	"9,000"	"10,500"	"9,000"	"10,500"	"9,000"	"18,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"16,000"	"9,000"	"9,000"
2016-03-13	"9,000"	"11,500"	"9,000"	"10,000"	"9,000"	"18,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"16,500"	"9,000"	"9,000"
2016-03-14	"12,000"	"14,500"	"12,000"	"13,000"	"9,000"	"18,000"	"9,000"	"9,000"	"9,000"	"12,000"	"9,000"	"9,000"	"19,500"	"12,000"	"12,000"
2016-03-15	"15,000"	"17,500"	"15,000"	"16,000"	"9,000"	"18,000"	"9,000"	"9,000"	"9,000"	"15,000"	"9,000"	"9,000"	"22,500"	"15,000"	"14,000"
2016-03-16	"18,000"	"20,500"	"18,000"	"19,000"	"9,000"	"18,000"	"9,000"	"9,000"	"9,000"	"18,000"	"9,000"	"9,000"	"25,500"	"18,000"	"12,500"
2016-03-17	"21,000"	"23,500"	"21,000"	"22,000"	"9,000"	"15,000"	"9,000"	"9,000"	"9,000"	"21,000"	"9,000"	"9,000"	"28,500"	"21,000"	"15,500"
2016-03-18	"24,000"	"24,000"	"24,000"	"25,000"	"9,000"	"12,000"	"9,000"	"9,000"	"9,000"	"24,000"	"9,000"	"9,000"	"31,500"	"22,000"	"14,500"
2016-03-19	"27,000"	"23,500"	"27,000"	"28,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"27,000"	"9,000"	"9,000"	"34,500"	"22,000"	"13,000"
2016-03-20	"29,000"	"23,500"	"30,000"	"30,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"26,500"	"9,000"	"9,000"	"34,000"	"22,000"	"16,000"
2016-03-21	"30,000"	"24,000"	"27,500"	"30,500"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"24,500"	"9,000"	"9,000"	"32,500"	"22,000"	"18,500"
2016-03-22	"31,000"	"23,500"	"25,000"	"32,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"23,000"	"9,000"	"9,000"	"29,500"	"23,000"	"21,500"
2016-03-23	"31,500"	"23,500"	"25,000"	"35,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"23,000"	"9,000"	"9,000"	"27,000"	"23,500"	"24,500"
2016-03-24	"30,000"	"24,500"	"25,500"	"36,500"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"24,000"	"9,000"	"9,000"	"24,000"	"23,000"	"27,500"
2016-03-25	"28,500"	"22,500"	"23,500"	"33,500"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"25,000"	"9,000"	"9,000"	"21,000"	"22,000"	"30,500"
2016-03-26	"27,500"	"21,000"	"23,000"	"32,000"	"9,000"	"9,000"	"9,000"	"12,000"	"9,000"	"25,000"	"9,000"	"9,000"	"19,500"	"21,000"	"32,500"
2016-03-27	"27,000"	"20,500"	"23,000"	"31,500"	"9,000"	"9,000"	"9,000"	"10,500"	"9,000"	"25,500"	"9,000"	"9,000"	"22,500"	"20,500"	"31,000"
2016-03-28	"26,000"	"20,000"	"24,500"	"32,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"25,500"	"9,000"	"9,000"	"25,500"	"20,000"	"32,000"
2016-03-29	"25,500"	"18,000"	"24,000"	"31,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"24,500"	"9,000"	"9,000"	"28,500"	"20,500"	"33,500"
2016-03-30	"24,500"	"16,000"	"23,000"	"29,500"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"25,000"	"9,000"	"11,000"	"31,500"	"22,000"	"36,500"
2016-03-31	"24,000"	"17,000"	"23,000"	"28,500"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"26,500"	"9,000"	"12,000"	"28,500"	"25,000"	"37,500"
2016-04-01	"24,500"	"20,000"	"25,000"	"28,500"	"9,000"	"9,000"	"9,000"	"9,000"	"12,000"	"29,500"	"9,000"	"12,000"	"25,500"	"28,000"	"34,500"
2016-04-02	"25,000"	"22,500"	"25,500"	"28,500"	"9,000"	"9,000"	"9,000"	"9,000"	"15,000"	"30,000"	"9,000"	"11,000"	"22,500"	"31,000"	"31,500"
2016-04-03	"26,000"	"24,000"	"25,000"	"27,000"	"9,000"	"9,000"	"9,000"	"9,000"	"18,000"	"29,000"	"9,000"	"9,500"	"21,500"	"34,000"	"30,500"
2016-04-04	"26,000"	"27,000"	"23,500"	"26,000"	"9,000"	"9,000"	"9,000"	"9,000"	"21,000"	"26,500"	"9,000"	"9,000"	"24,500"	"36,500"	"32,000"
2016-04-05	"25,500"	"30,000"	"26,500"	"27,000"	"9,000"	"9,000"	"9,000"	"9,000"	"22,000"	"25,500"	"9,000"	"9,000"	"27,500"	"33,500"	"31,500"
2016-04-06	"26,500"	"30,000"	"29,500"	"29,000"	"9,000"	"9,000"	"9,000"	"9,000"	"19,000"	"27,500"	"9,000"	"9,000"	"30,500"	"30,500"	"31,000"
2016-04-07	"27,000"	"32,500"	"32,500"	"29,500"	"9,000"	"9,000"	"9,000"	"9,000"	"16,000"	"30,000"	"9,000"	"9,000"	"33,500"	"27,500"	"31,000"
2016-04-08	"30,000"	"33,500"	"32,500"	"28,000"	"9,000"	"9,000"	"9,000"	"9,000"	"13,000"	"29,500"	"9,000"	"9,000"	"36,500"	"24,500"	"31,000"
2016-04-09	"33,000"	"32,000"	"32,000"	"27,500"	"9,000"	"9,000"	"9,000"	"9,000"	"10,000"	"26,500"	"9,000"	"9,000"	"39,500"	"21,500"	"30,500"
2016-04-10	"36,000"	"29,500"	"29,500"	"28,000"	"9,500"	"9,000"	"9,000"	"9,000"	"9,500"	"25,000"	"9,000"	"9,000"	"38,500"	"24,000"	"30,000"
2016-04-11	"39,000"	"31,000"	"28,500"	"29,000"	"9,500"	"9,000"	"9,000"	"9,000"	"11,000"	"26,500"	"9,000"	"11,000"	"41,500"	"27,000"	"30,500"
2016-04-12	"38,500"	"30,500"	"27,000"	"29,500"	"10,500"	"9,000"	"9,000"	"9,000"	"11,500"	"28,500"	"9,000"	"12,000"	"44,500"	"30,000"	"30,500"
2016-04-13	"35,500"	"29,000"	"27,000"	"30,000"	"11,000"	"9,000"	"9,000"	"9,000"	"10,500"	"29,000"	"9,000"	"12,000"	"47,500"	"33,000"	"28,500"
2016-04-14	"32,500"	"27,500"	"26,500"	"31,000"	"9,500"	"9,000"	"9,000"	"9,000"	"10,000"	"29,000"	"9,000"	"12,000"	"44,500"	"36,000"	"29,000"
2016-04-15	"29,500"	"27,500"	"26,500"	"32,500"	"9,000"	"9,000"	"9,000"	"9,000"	"9,500"	"28,500"	"9,500"	"11,000"	"41,500"	"36,000"	"26,000"
2016-04-16	"27,500"	"26,500"	"27,000"	"33,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,500"	"28,000"	"9,000"	"9,500"	"38,500"	"36,000"	"23,500"
2016-04-17	"27,500"	"26,500"	"27,000"	"32,000"	"9,000"	"11,000"	"9,000"	"9,000"	"10,000"	"26,000"	"9,000"	"9,000"	"35,500"	"35,000"	"23,000"
2016-04-18	"26,500"	"27,000"	"26,500"	"30,500"	"9,000"	"9,000"	"9,000"	"9,000"	"10,500"	"24,500"	"9,000"	"9,000"	"36,000"	"36,000"	"22,500"
2016-04-19	"25,500"	"27,000"	"25,000"	"31,500"	"9,000"	"9,000"	"9,000"	"9,000"	"11,000"	"26,000"	"9,000"	"9,000"	"37,000"	"36,000"	"21,500"
2016-04-20	"25,500"	"26,000"	"25,000"	"34,000"	"9,000"	"9,000"	"9,000"	"9,000"	"12,500"	"27,500"	"10,000"	"9,000"	"37,000"	"36,000"	"24,500"
2016-04-21	"26,000"	"24,000"	"25,000"	"35,500"	"9,000"	"10,500"	"9,000"	"9,000"	"13,500"	"29,500"	"10,500"	"9,000"	"36,500"	"33,500"	"27,000"
2016-04-22	"26,500"	"24,000"	"25,000"	"35,500"	"10,000"	"11,500"	"9,000"	"9,000"	"14,000"	"32,000"	"10,500"	"9,000"	"37,000"	"30,500"	"27,000"
2016-04-23	"27,000"	"23,500"	"25,000"	"35,000"	"11,500"	"11,000"	"9,000"	"9,000"	"15,000"	"35,000"	"10,500"	"9,000"	"37,000"	"28,000"	"27,500"
2016-04-24	"27,000"	"24,000"	"25,500"	"33,500"	"11,500"	"9,000"	"9,000"	"9,000"	"15,000"	"36,000"	"10,500"	"9,000"	"37,000"	"25,500"	"27,500"
2016-04-25	"27,500"	"24,500"	"25,000"	"32,000"	"9,500"	"10,000"	"9,000"	"9,000"	"14,000"	"33,000"	"10,000"	"9,000"	"38,000"	"24,500"	"28,000"
2016-04-26	"27,500"	"24,500"	"25,000"	"31,500"	"9,000"	"11,000"	"9,000"	"9,000"	"14,000"	"30,000"	"9,500"	"9,000"	"35,000"	"24,500"	"28,000"
2016-04-27	"27,000"	"24,500"	"25,500"	"31,500"	"9,000"	"11,500"	"9,000"	"9,000"	"14,000"	"27,000"	"9,000"	"9,000"	"32,000"	"25,000"	"28,000"
2016-04-28	"26,500"	"25,000"	"25,000"	"32,500"	"9,000"	"11,500"	"9,000"	"9,000"	"14,000"	"26,500"	"9,000"	"9,000"	"32,500"	"25,500"	"28,000"
2016-04-29	"26,500"	"24,000"	"25,500"	"33,500"	"9,000"	"11,000"	"9,000"	"9,000"	"14,000"	"27,000"	"9,000"	"9,000"	"33,500"	"25,500"	"27,500"
2016-04-30	"26,500"	"24,000"	"25,500"	"35,500"	"12,000"	"14,000"	"12,000"	"12,000"	"17,000"	"26,500"	"12,000"	"12,000"	"30,500"	"22,500"	"27,500"
2016-05-01	"26,000"	"24,500"	"25,000"	"37,000"	"15,000"	"17,000"	"15,000"	"15,000"	"18,000"	"27,500"	"15,000"	"15,000"	"27,500"	"25,000"	"27,500"
2016-05-02	"26,500"	"24,500"	"25,000"	"36,500"	"17,500"	"18,000"	"16,000"	"18,000"	"18,000"	"29,500"	"17,500"	"12,000"	"26,500"	"24,500"	"27,500"
2016-05-03	"26,500"	"24,000"	"25,500"	"35,500"	"18,500"	"18,000"	"16,000"	"18,000"	"18,000"	"30,500"	"17,500"	"9,000"	"26,500"	"21,500"	"28,000"
2016-05-04	"26,500"	"23,500"	"27,500"	"35,000"	"18,500"	"18,000"	"15,500"	"18,000"	"18,500"	"32,000"	"17,000"	"9,000"	"26,000"	"18,500"	"28,000"
2016-05-05	"26,000"	"24,500"	"28,000"	"35,000"	"19,000"	"18,000"	"15,000"	"17,000"	"18,500"	"35,000"	"16,500"	"12,000"	"25,500"	"15,500"	"28,000"
2016-05-06	"26,000"	"25,000"	"28,000"	"36,000"	"19,000"	"18,000"	"15,000"	"16,500"	"18,500"	"38,000"	"16,500"	"14,500"	"24,500"	"14,500"	"28,500"
2016-05-07	"26,000"	"25,500"	"28,000"	"36,500"	"19,000"	"18,000"	"15,000"	"15,500"	"18,000"	"35,000"	"16,500"	"15,500"	"24,000"	"16,000"	"25,500"
2016-05-08	"27,500"	"25,000"	"28,000"	"37,000"	"18,500"	"18,000"	"15,000"	"15,000"	"18,000"	"32,000"	"16,000"	"18,500"	"23,500"	"16,000"	"23,000"
2016-05-09	"27,000"	"27,500"	"27,500"	"36,500"	"19,000"	"18,000"	"15,500"	"16,000"	"18,000"	"31,000"	"16,000"	"30,667"	"24,500"	"16,000"	"23,000"
2016-05-10	"26,500"	"24,500"	"27,500"	"36,500"	"19,000"	"18,000"	"16,000"	"16,500"	"18,000"	"30,500"	"15,500"	"34,305"	"26,000"	"16,500"	"24,000"
2016-05-11	"27,000"	"24,000"	"27,500"	"37,500"	"19,500"	"18,000"	"16,000"	"16,500"	"18,000"	"30,000"	"15,500"	"33,029"	"27,500"	"14,000"	"27,000"
2016-05-12	"27,500"	"25,500"	"26,500"	"36,500"	"19,000"	"18,500"	"16,500"	"17,000"	"18,000"	"29,000"	"16,000"	"30,500"	"27,500"	"11,000"	"24,000"
2016-05-13	"28,000"	"26,000"	"25,500"	"33,500"	"18,500"	"18,500"	"16,500"	"17,000"	"18,500"	"29,500"	"16,500"	"33,500"	"27,500"	"9,000"	"24,500"
2016-05-14	"29,000"	"26,000"	"25,600"	"33,500"	"18,000"	"18,000"	"17,000"	"17,000"	"18,500"	"29,500"	"16,500"	"36,500"	"27,500"	"10,000"	"23,000"
2016-05-15	"29,500"	"26,000"	"25,600"	"34,000"	"18,000"	"18,000"	"17,000"	"17,000"	"20,000"	"30,000"	"17,000"	"39,500"	"27,500"	"11,500"	"23,000"
2016-05-16	"30,000"	"26,000"	"25,600"	"35,500"	"18,000"	"18,000"	"17,000"	"17,500"	"20,000"	"31,000"	"17,500"	"42,500"	"27,500"	"12,500"	"22,500"
2016-05-17	"31,000"	"26,000"	"25,600"	"38,500"	"18,000"	"18,000"	"17,500"	"18,000"	"20,500"	"31,000"	"18,000"	"44,000"	"27,500"	"14,000"	"22,500"
2016-05-18	"31,000"	"29,000"	"25,600"	"38,000"	"18,000"	"18,000"	"17,500"	"18,000"	"19,000"	"31,000"	"18,500"	"44,000"	"27,500"	"15,500"	"22,500"
2016-05-19	"31,000"	"30,000"	"25,600"	"36,000"	"18,000"	"18,000"	"17,500"	"17,500"	"19,000"	"31,000"	"18,500"	"44,000"	"27,500"	"16,500"	"23,000"
2016-05-20	"31,000"	"30,500"	"28,100"	"36,000"	"18,000"	"18,500"	"17,500"	"17,000"	"18,500"	"31,000"	"19,000"	"44,000"	"27,500"	"17,000"	"22,500"
2016-05-21	"31,000"	"30,500"	"30,100"	"36,500"	"18,000"	"18,500"	"17,500"	"17,500"	"18,500"	"31,000"	"19,000"	"44,000"	"27,500"	"17,000"	"22,000"
2016-05-22	"31,000"	"30,500"	"33,100"	"37,500"	"18,500"	"20,000"	"17,500"	"17,500"	"19,500"	"31,000"	"19,000"	"41,000"	"27,500"	"16,500"	"20,500"
2016-05-23	"32,000"	"30,500"	"33,600"	"37,500"	"18,500"	"19,000"	"17,500"	"16,500"	"20,500"	"31,500"	"19,000"	"38,000"	"27,500"	"16,000"	"19,500"
