Date	1931	1932	1933	1934	1935	1936
2016-08-21	"35,000"	"34,000"	"29,000"	"40,000"	"19,000"	"22,500"
2016-08-22	"36,000"	"34,000"	"29,000"	"39,500"	"19,000"	"23,000"
2016-08-23	"36,500"	"33,500"	"31,000"	"39,000"	"19,500"	"24,000"
2016-08-24	"36,500"	"33,000"	"31,500"	"37,500"	"19,500"	"25,000"
2016-08-25	"35,500"	"33,000"	"34,500"	"36,000"	"19,500"	"24,500"
2016-08-26	"35,500"	"32,000"	"37,500"	"35,000"	"19,500"	"24,500"
2016-08-27	"36,000"	"31,000"	"36,500"	"34,500"	"19,500"	"25,000"
2016-08-28	"36,500"	"31,000"	"33,500"	"34,000"	"20,000"	"24,500"
2016-08-29	"36,500"	"31,000"	"32,000"	"34,000"	"20,000"	"24,000"
2016-08-30	"35,500"	"29,500"	"33,500"	"34,000"	"20,000"	"23,500"
2016-08-31	"33,500"	"28,000"	"34,500"	"34,000"	"17,000"	"20,500"
2016-09-01	"30,500"	"25,500"	"31,500"	"31,000"	"14,000"	"17,500"
2016-09-02	"27,500"	"24,500"	"29,500"	"28,000"	"11,000"	"14,500"
2016-09-03	"27,500"	"25,000"	"28,500"	"27,500"	"9,500"	"11,500"
2016-09-04	"28,000"	"26,000"	"27,000"	"28,000"	"9,500"	"9,000"
2016-09-05	"28,500"	"27,000"	"26,000"	"29,500"	"9,500"	"9,000"
2016-09-06	"29,500"	"28,000"	"27,500"	"31,000"	"10,000"	"9,000"
2016-09-07	"29,500"	"28,000"	"30,500"	"32,000"	"10,000"	"9,000"
2016-09-08	"30,000"	"28,500"	"33,500"	"32,500"	"9,500"	"9,000"
2016-09-09	"30,500"	"28,500"	"36,500"	"32,500"	"9,500"	"9,000"
2016-09-10	"31,000"	"28,500"	"33,500"	"32,500"	"9,500"	"9,000"
2016-09-11	"31,500"	"28,000"	"30,500"	"31,500"	"9,500"	"9,000"
2016-09-12	"31,000"	"28,000"	"27,500"	"30,000"	"9,500"	"9,000"
2016-09-13	"30,500"	"28,500"	"26,500"	"29,500"	"9,500"	"9,000"
2016-09-14	"30,000"	"28,500"	"26,000"	"29,500"	"9,500"	"9,000"
2016-09-15	"30,000"	"28,500"	"25,500"	"30,000"	"9,500"	"9,000"
2016-09-16	"30,000"	"28,500"	"25,500"	"30,500"	"9,500"	"9,000"
2016-09-17	"29,500"	"31,000"	"25,000"	"30,500"	"9,500"	"9,000"
2016-09-18	"29,000"	"33,500"	"25,000"	"30,000"	"9,500"	"9,000"
2016-09-19	"29,000"	"34,000"	"27,000"	"30,000"	"9,500"	"9,000"
2016-09-20	"28,500"	"32,000"	"30,000"	"30,000"	"9,500"	"9,000"
2016-09-21	"27,000"	"29,000"	"31,000"	"29,000"	"9,500"	"9,000"
2016-09-22	"26,500"	"27,000"	"30,500"	"29,000"	"9,500"	"9,000"
2016-09-23	"27,000"	"27,500"	"30,000"	"29,000"	"9,500"	"9,000"
2016-09-24	"27,000"	"28,000"	"30,000"	"26,000"	"9,500"	"9,000"
2016-09-25	"26,000"	"28,000"	"30,000"	"23,000"	"9,500"	"9,000"
2016-09-26	"25,500"	"27,500"	"28,500"	"20,000"	"10,000"	"9,000"
2016-09-27	"26,500"	"27,500"	"29,000"	"17,000"	"9,500"	"9,000"
2016-09-28	"28,000"	"27,500"	"29,000"	"14,000"	"9,500"	"9,000"
2016-09-29	"28,500"	"27,500"	"29,500"	"11,000"	"9,500"	"9,500"
2016-09-30	"29,000"	"28,000"	"28,500"	"9,000"	"9,500"	"9,500"
2016-10-01	"29,000"	"28,000"	"28,000"	"9,000"	"9,000"	"9,000"
2016-10-02	"29,000"	"28,000"	"28,500"	"9,000"	"9,000"	"9,000"
2016-10-03	"29,500"	"27,500"	"29,000"	"9,000"	"9,000"	"9,000"
2016-10-04	"29,500"	"28,000"	"29,500"	"9,000"	"9,000"	"9,000"
2016-10-05	"28,500"	"28,000"	"30,000"	"9,000"	"9,000"	"9,000"
2016-10-06	"28,000"	"28,500"	"30,500"	"9,000"	"9,000"	"9,000"
2016-10-07	"27,500"	"29,000"	"31,000"	"9,000"	"9,000"	"9,000"
2016-10-08	"27,000"	"29,000"	"31,000"	"9,000"	"9,000"	"9,000"
2016-10-09	"27,500"	"28,500"	"31,500"	"9,000"	"9,000"	"9,000"
2016-10-10	"28,000"	"28,500"	"32,000"	"9,000"	"9,000"	"9,000"
2016-10-11	"28,500"	"28,500"	"32,000"	"9,000"	"9,000"	"9,000"
2016-10-12	"28,500"	"28,500"	"32,000"	"9,000"	"9,000"	"9,000"
2016-10-13	"29,000"	"28,500"	"32,000"	"9,000"	"9,000"	"9,000"
2016-10-14	"28,500"	"28,500"	"29,000"	"9,000"	"9,000"	"9,000"
2016-10-15	"29,500"	"28,500"	"26,000"	"9,000"	"9,000"	"9,000"
2016-10-16	"30,000"	"28,000"	"23,000"	"9,000"	"9,000"	"9,000"
2016-10-17	"30,500"	"27,500"	"20,000"	"9,000"	"9,000"	"9,000"
2016-10-18	"30,000"	"27,500"	"17,000"	"9,000"	"9,000"	"9,000"
2016-10-19	"29,500"	"27,500"	"14,000"	"9,000"	"9,000"	"9,000"
2016-10-20	"29,500"	"27,500"	"11,000"	"9,000"	"9,000"	"9,000"
2016-10-21	"30,000"	"28,000"	"9,000"	"9,000"	"9,000"	"9,000"
2016-10-22	"29,500"	"28,000"	"9,000"	"9,500"	"9,000"	"9,000"
2016-10-23	"29,500"	"28,500"	"9,000"	"10,000"	"9,000"	"9,000"
2016-10-24	"30,000"	"28,500"	"9,000"	"10,000"	"9,000"	"9,000"
2016-10-25	"27,000"	"25,500"	"9,000"	"9,000"	"9,000"	"9,000"
2016-10-26	"24,000"	"22,500"	"9,000"	"9,000"	"9,000"	"9,000"
2016-10-27	"21,000"	"19,500"	"9,000"	"9,500"	"9,000"	"9,000"
2016-10-28	"18,000"	"16,500"	"9,000"	"10,500"	"9,000"	"9,000"
2016-10-29	"15,000"	"13,500"	"9,000"	"10,500"	"9,000"	"9,000"
2016-10-30	"12,000"	"10,500"	"9,000"	"10,000"	"9,000"	"9,000"
2016-10-31	"9,000"	"9,500"	"9,500"	"9,500"	"9,000"	"9,000"
2016-11-01	"9,000"	"9,500"	"9,500"	"9,000"	"9,000"	"9,000"
2016-11-02	"9,000"	"9,500"	"9,500"	"9,000"	"9,000"	"9,000"
2016-11-03	"9,000"	"9,500"	"9,500"	"9,000"	"9,000"	"9,000"
2016-11-04	"9,000"	"9,500"	"9,500"	"9,000"	"9,000"	"9,500"
2016-11-05	"9,000"	"10,000"	"9,500"	"9,000"	"9,000"	"9,000"
2016-11-06	"9,500"	"9,500"	"9,500"	"9,000"	"9,000"	"9,000"
2016-11-07	"9,500"	"9,500"	"9,500"	"9,000"	"9,000"	"9,000"
2016-11-08	"9,000"	"9,000"	"9,500"	"9,000"	"9,500"	"9,500"
2016-11-09	"9,000"	"9,000"	"9,500"	"9,000"	"9,000"	"10,500"
2016-11-10	"9,000"	"9,000"	"9,500"	"9,000"	"9,500"	"11,000"
2016-11-11	"9,000"	"9,000"	"9,500"	"9,000"	"9,500"	"11,000"
2016-11-12	"9,000"	"9,000"	"9,000"	"9,000"	"9,500"	"11,000"
2016-11-13	"9,000"	"9,500"	"9,000"	"9,500"	"9,000"	"10,500"
2016-11-14	"9,000"	"9,500"	"9,000"	"9,500"	"9,000"	"10,000"
2016-11-15	"9,000"	"9,500"	"9,000"	"9,500"	"9,000"	"9,500"
2016-11-16	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"
2016-11-17	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"
2016-11-18	"9,000"	"9,000"	"9,000"	"9,000"	"9,500"	"9,000"
2016-11-19	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"
2016-11-20	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"
2016-11-21	"9,000"	"9,000"	"9,500"	"9,000"	"9,000"	"9,000"
2016-11-22	"9,000"	"9,000"	"10,000"	"9,000"	"9,000"	"9,000"
2016-11-23	"9,000"	"9,000"	"10,500"	"9,000"	"9,000"	"9,500"
2016-11-24	"9,000"	"9,000"	"10,000"	"9,000"	"9,000"	"10,000"
2016-11-25	"9,000"	"9,000"	"11,000"	"9,000"	"9,000"	"9,500"
2016-11-26	"9,000"	"9,000"	"11,500"	"9,000"	"9,000"	"10,000"
